tahun_data,kab_kota,indikator,jumlah,satuan
2023,Kab. Purworejo,Timbulan Sampah,105828.91,Ton
2023,Kab. Rembang,Timbulan Sampah,143899.76,Ton
2023,Kab. Semarang,Timbulan Sampah,141712.91,Ton
2023,Kab. Sragen,Timbulan Sampah,145802.21,Ton
2023,Kab. Sukoharjo,Timbulan Sampah,121703.24,Ton
2023,Kab. Tegal,Timbulan Sampah,282697.16,Ton
2023,Kab. Temanggung,Timbulan Sampah,106927.83,Ton
2023,Kab. Wonogiri,Timbulan Sampah,163148.24,Ton
2023,Kab. Wonosobo,Timbulan Sampah,134105.74,Ton
2023,Kota Magelang,Timbulan Sampah,26756.29,Ton
2023,Kota Pekalongan,Timbulan Sampah,48039.69,Ton
2023,Kota Salatiga,Timbulan Sampah,29731.43,Ton
2023,Kota Semarang,Timbulan Sampah,457813.14,Ton
2023,Kota Surakarta,Timbulan Sampah,113941.87,Ton
2023,Kota Tegal,Timbulan Sampah,78759.5,Ton
